Name;Named;PoV;AllegianceASOIAF;CultureASOIAF;RaceASOIAF;Source;AllegianceGoT;CultureGoT;AllegianceBoth;CultureBoth
Dale Drumm;TRUE;0;House Drumm;Ironborn;;AWOIAF Wiki;;;House Drumm;Ironborn
Dale Seaworth;TRUE;0;House Seaworth;;;AWOIAF Wiki;;;House Seaworth;
Dalla;TRUE;0;Mance Rayder;Free Folk;;AWOIAF Wiki;;;Mance Rayder;Free Folk
Dalla (Dragonstone);TRUE;0;House Baratheon;;;AWOIAF Wiki;;;House Baratheon;
Dalton Greyjoy;TRUE;0;House Greyjoy, Blacks;Ironborn;;AWOIAF Wiki;;;House Greyjoy, Blacks;Ironborn
Damion Lannister;TRUE;0;House Lannister;Westermen;;AWOIAF Wiki;;;House Lannister;Westermen
Damon Dance-for-Me;TRUE;0;House Bolton;Northmen;;AWOIAF Wiki;;;House Bolton;Northmen
Damon Darry;TRUE;0;House Darry;Rivermen;;AWOIAF Wiki;;;House Darry;Rivermen
Damon Hightower;TRUE;0;House Hightower;Reach;;AWOIAF Wiki;;;House Hightower;Reach
Damon Lannister (lord);TRUE;0;House Lannister;Westermen;;AWOIAF Wiki;;;House Lannister;Westermen
Damon Lannister (son of Jason);TRUE;0;House Lannister;Westermen;;AWOIAF Wiki;;;House Lannister;Westermen
Damon Marbrand;TRUE;0;House Marbrand;Westermen;;AWOIAF Wiki;;;House Marbrand;Westermen
Damon Morrigen;TRUE;0;House Morrigen, Faith of the Seven, Warrior's Sons;Stormlander;;AWOIAF Wiki;;;House Morrigen, Faith of the Seven, Warrior's Sons;Stormlander
Damon Paege;TRUE;0;House Paege;Rivermen;;AWOIAF Wiki;;;House Paege;Rivermen
Damon Shett;TRUE;0;House Shett;Valemen;;AWOIAF Wiki;;;House Shett;Valemen
Damon Teague;TRUE;0;;Rivermen;Andal;AWOIAF Wiki;;;;Rivermen
Damon Vypren;TRUE;0;House Vypren;Rivermen;;AWOIAF Wiki;;;House Vypren;Rivermen
Dan;TRUE;0;Mance Rayder;Free Folk;;AWOIAF Wiki;;;Mance Rayder;Free Folk
Dancy;TRUE;0;Chataya's brothel;;;AWOIAF Wiki;;;Chataya's brothel;
Danelle Lothston;TRUE;0;House Lothston;Rivermen;;AWOIAF Wiki;;;House Lothston;Rivermen
Dannel;TRUE;0;Night's Watch;Westerosi;;AWOIAF Wiki;;;Night's Watch;Westerosi
Danny Flint;TRUE;0;House Flint, Night's Watch;Northmen;;AWOIAF Wiki;;;House Flint, Night's Watch;Northmen
Danos Slynt;TRUE;0;House Slynt;Crownlander;;AWOIAF Wiki;;;House Slynt;Crownlander
Danwell Frey;TRUE;0;House Frey;Rivermen;;AWOIAF Wiki;;;House Frey;Rivermen
Dareon;TRUE;0;Night's Watch;Reach;;AWOIAF Wiki;;;Night's Watch;Reach
Darke (Seven Swords);TRUE;0;House Darke, Seven Swords;Crownlander;;AWOIAF Wiki;;;House Darke, Seven Swords;Crownlander
Lord Darklyn (father of Jonquil Darke);TRUE;0;House Darklyn;Crownlander;;AWOIAF Wiki;;;House Darklyn;Crownlander
Darla Deddings;TRUE;0;House Deddings;Rivermen;;AWOIAF Wiki;;;House Deddings;Rivermen
Darlessa Marbrand;TRUE;0;House Marbrand, House Lannister;Westermen;;AWOIAF Wiki;;;House Marbrand, House Lannister;Westermen
Darnold Darry;TRUE;0;House Darry;Rivermen;;AWOIAF Wiki;;;House Darry;Rivermen
Darnold Arryn;TRUE;0;House Arryn;Valemen;;AWOIAF Wiki;;;House Arryn;Valemen
Darren Manning;TRUE;0;;;;AWOIAF Wiki;;;;
Lord Darry (Dance);TRUE;0;House Darry, Blacks;Rivermen;;AWOIAF Wiki;;;House Darry, Blacks;Rivermen
Lord Darry (father of Raymun);TRUE;0;House Darry;Rivermen;;AWOIAF Wiki;;;House Darry;Rivermen
Daryn Hornwood;TRUE;0;House Hornwood;Northmen;;AWOIAF Wiki;;;House Hornwood;Northmen
Daughter of the captain of the Myraham;FALSE;0;;;;AWOIAF Wiki;;;;
Daughter of the Dusk;TRUE;0;;Braavosi;;AWOIAF Wiki;;;;Braavosi
Daven Lannister;TRUE;0;House Lannister;Westermen;;AWOIAF Wiki;;;House Lannister;Westermen
Daven Westford;TRUE;0;House Westford;Westermen;;AWOIAF Wiki;;;House Westford;Westermen
Davos;TRUE;0;House Seaworth, House Baratheon;Crownlander;;AWOIAF Wiki;;;House Seaworth, House Baratheon;Crownlander
Davos Baratheon;TRUE;0;House Baratheon;Stormlander;;AWOIAF Wiki;;;House Baratheon;Stormlander
Davos Darklyn;TRUE;0;House Darklyn, Kingsguard;Crownlander;;AWOIAF Wiki;;;House Darklyn, Kingsguard;Crownlander
Davos Dayne;TRUE;0;House Dayne, House Martell;Dornish;;AWOIAF Wiki;;;House Dayne, House Martell;Dornish
Davos Deddings;TRUE;0;House Deddings;Rivermen;;AWOIAF Wiki;;;House Deddings;Rivermen
Davos Seaworth;TRUE;13;House Seaworth, House Baratheon;Crownlander;;AWOIAF Wiki;House Seaworth, House Baratheon, House Stark;Andal;House Seaworth, House Baratheon;Crownlander
Deana Hardyng;TRUE;0;House Hardyng, House Frey;Valemen;;AWOIAF Wiki;;;House Hardyng, House Frey;Valemen
Lady Deddings;TRUE;0;House Deddings;Rivermen;;AWOIAF Wiki;;;House Deddings;Rivermen
Lord Deddings;TRUE;0;House Deddings;Rivermen;;AWOIAF Wiki;;;House Deddings;Rivermen
Del;TRUE;0;Mance Rayder;Free Folk;;AWOIAF Wiki;;;Mance Rayder;Free Folk
Delena Florent;TRUE;0;House Florent, House Norcross;Reach;;AWOIAF Wiki;;;House Florent, House Norcross;Reach
Della Frey;TRUE;0;House Frey;Rivermen;;AWOIAF Wiki;;;House Frey;Rivermen
Dellono;TRUE;0;;Braavosi;;AWOIAF Wiki;;;;Braavosi
Delonne Allyrion;TRUE;0;House Allyrion;Dornish;;AWOIAF Wiki;;;House Allyrion;Dornish
Delp;TRUE;0;House Tully;Rivermen;;AWOIAF Wiki;;;House Tully;Rivermen
Demon of Darry;TRUE;0;House Darry, Kingsguard;Rivermen;;AWOIAF Wiki;;;House Darry, Kingsguard;Rivermen
Denestan;TRUE;0;Citadel;;;AWOIAF Wiki;;;Citadel;
Dennet;TRUE;0;Brotherhood Without Banners;;;AWOIAF Wiki;;;Brotherhood Without Banners;
Dennis Plumm;TRUE;0;House Plumm;Westermen;;AWOIAF Wiki;;;House Plumm;Westermen
Dennis the Lame;TRUE;0;Poor Fellows;Westerosi;;AWOIAF Wiki;;;Poor Fellows;Westerosi
Dennis Whitfield;TRUE;0;House Whitfield, Kingsguard;Westerosi;;AWOIAF Wiki;;;House Whitfield, Kingsguard;Westerosi
Denyo Terys;TRUE;0;;Braavosi;;AWOIAF Wiki;;;;Braavosi
Denys;TRUE;0;;;;AWOIAF Wiki;;;;
Denys Arryn;TRUE;0;House Arryn;Valemen;;AWOIAF Wiki;;;House Arryn;Valemen
Denys Darklyn;TRUE;0;House Darklyn;Crownlander;;AWOIAF Wiki;;;House Darklyn;Crownlander
Denys Drumm;TRUE;0;House Drumm;Ironborn;;AWOIAF Wiki;;;House Drumm;Ironborn
Denys Harte;TRUE;0;House Harte;Crownlander;;AWOIAF Wiki;;;House Harte;Crownlander
Denys Mallister;TRUE;0;House Mallister, Night's Watch;Rivermen;;AWOIAF Wiki;House Mallister, Night's Watch;Andal;House Mallister, Night's Watch;Rivermen
Denys Oakheart;TRUE;0;House Oakheart;Reach;;AWOIAF Wiki;;;House Oakheart;Reach
Denys Redwyne;TRUE;0;House Redwyne;Reach;;AWOIAF Wiki;;;House Redwyne;Reach
Denys Snow;TRUE;0;House Dustin, House Targaryen;Northmen;;AWOIAF Wiki;;;House Dustin, House Targaryen;Northmen
Denys Strong;TRUE;0;Golden Company;;;AWOIAF Wiki;;;Golden Company;
Denys Swann;TRUE;0;House Swann;Marcher;;AWOIAF Wiki;;;House Swann;Marcher
Denys Woodwright;TRUE;0;House Woodwright, House Velaryon;Reach;;AWOIAF Wiki;;;House Woodwright, House Velaryon;Reach
Denyse Hightower;TRUE;0;House Hightower, House Redwyne;Reach;;AWOIAF Wiki;;;House Hightower, House Redwyne;Reach
Denzo D'han;TRUE;0;Windblown;Free Cities;;AWOIAF Wiki;;;Windblown;Free Cities
Deremond;TRUE;0;;;;AWOIAF Wiki;;;;
Deria Martell;TRUE;0;House Martell;Dornish;;AWOIAF Wiki;;;House Martell;Dornish
Dermot of the Rainwood;TRUE;0;House Baratheon;Stormlander;;AWOIAF Wiki;;;House Baratheon;Stormlander
Derrick Darry;TRUE;0;House Darry, Blacks;Rivermen;;AWOIAF Wiki;;;House Darry, Blacks;Rivermen
Derrick Fossoway;TRUE;0;House Fossoway, Band of Nine;Reach;;AWOIAF Wiki;;;House Fossoway, Band of Nine;Reach
Desmera Redwyne;TRUE;0;House Redwyne;Reach;;AWOIAF Wiki;;;House Redwyne;Reach
Desmond (Grand Maester);TRUE;0;Citadel, House Targaryen;;;AWOIAF Wiki;;;Citadel, House Targaryen;
Desmond;TRUE;0;House Stark;Northmen;;AWOIAF Wiki;;;House Stark;Northmen
Desmond Darry;TRUE;0;House Darry;Rivermen;;AWOIAF Wiki;;;House Darry;Rivermen
Desmond Grell;TRUE;0;House Grell, Night's Watch;Rivermen;;AWOIAF Wiki;;;House Grell, Night's Watch;Rivermen
Desmond Hardyng;TRUE;0;;;;AWOIAF Wiki;;;;
Desmond Mallister;TRUE;0;House Mallister;Rivermen;;AWOIAF Wiki;;;House Mallister;Rivermen
Desmond Redwyne;TRUE;0;House Redwyne;Reach;;AWOIAF Wiki;;;House Redwyne;Reach
Devan Manning;TRUE;0;;;;AWOIAF Wiki;;;;
Devan Seaworth;TRUE;0;House Seaworth, House Baratheon;;;AWOIAF Wiki;;;House Seaworth, House Baratheon;
Deved Joren;TRUE;0;;;;AWOIAF Wiki;;;;
Devyn Sealskinner;TRUE;0;Mance Rayder;Free Folk;;AWOIAF Wiki;;;Mance Rayder;Free Folk
Deziel Dalt;TRUE;0;House Dalt;Dornish;;AWOIAF Wiki;;;House Dalt;Dornish
Dhako;TRUE;0;;Dothraki;Dothraki;AWOIAF Wiki;;;;Dothraki
Dhazzar;TRUE;0;;Ghiscari;;AWOIAF Wiki;;;;Ghiscari
Fletcher Dick;TRUE;0;Kingswood Brotherhood;;;AWOIAF Wiki;;;Kingswood Brotherhood;
Yellow Dick;TRUE;0;House Bolton;Northmen;;AWOIAF Wiki;;;House Bolton;Northmen
Dick Bean;TRUE;0;House Targaryen;Crownlander;;AWOIAF Wiki;;;House Targaryen;Crownlander
Dick Cole;TRUE;0;Golden Company;;;AWOIAF Wiki;;;Golden Company;
Dick Crabb;TRUE;0;House Crabb;Crownlander;;AWOIAF Wiki;;;House Crabb;Crownlander
Dick Follard;TRUE;0;House Follard, Night's Watch;Crownlander;;AWOIAF Wiki;;;House Follard, Night's Watch;Crownlander
Dick Straw;TRUE;0;Windblown, House Straw;;;AWOIAF Wiki;;;Windblown, House Straw;
Dickon Flowers;TRUE;0;House Beesbury, Faith of the Seven, Warrior's Sons;Reach;;AWOIAF Wiki;;;House Beesbury, Faith of the Seven, Warrior's Sons;Reach
Dickon Frey;TRUE;0;House Frey;Rivermen;;AWOIAF Wiki;;;House Frey;Rivermen
Dickon Manwoody;TRUE;0;House Manwoody;Dornish;;AWOIAF Wiki;;;House Manwoody;Dornish
Dickon Morrigen;TRUE;0;House Morrigen;Stormlander;;AWOIAF Wiki;;;House Morrigen;Stormlander
Dickon Tarly;TRUE;0;House Tarly;Marcher;;AWOIAF Wiki;House Tarly;Andal;House Tarly;Marcher
Dirk;TRUE;0;Night's Watch;;;AWOIAF Wiki;;;Night's Watch;
Dobber;TRUE;0;;Crownlander;;AWOIAF Wiki;;;;Crownlander
Dogkiller;TRUE;0;Unsullied, House Targaryen;;;AWOIAF Wiki;;;Unsullied, House Targaryen;
Dolf;TRUE;0;Stone Crows;Mountain Clans;;AWOIAF Wiki;;;Stone Crows;Mountain Clans
Domeric;TRUE;0;;;;AWOIAF Wiki;;;;
Domeric Bolton;TRUE;0;House Bolton;Northmen;;AWOIAF Wiki;;;House Bolton;Northmen
Donal Noye;TRUE;0;Night's Watch, House Baratheon;Stormlander;;AWOIAF Wiki;;;Night's Watch, House Baratheon;Stormlander
Lord Dondarrion (father of Simon);TRUE;0;House Dondarrion;Marcher;;AWOIAF Wiki;;;House Dondarrion;Marcher
Lord Dondarrion (father of Manfred);TRUE;0;House Dondarrion;Marcher;;AWOIAF Wiki;;;House Dondarrion;Marcher
Donel Greyjoy;TRUE;0;House Greyjoy;Ironborn;;AWOIAF Wiki;;;House Greyjoy;Ironborn
Donella Hornwood;TRUE;0;House Manderly, House Hornwood, House Bolton;Northmen;;AWOIAF Wiki;;;House Manderly, House Hornwood, House Bolton;Northmen
Doniphos Paenymion;TRUE;0;Elephants;Volantene;Valyrian;AWOIAF Wiki;;;Elephants;Volantene
Donnel Arryn;TRUE;0;House Arryn;Valemen;;AWOIAF Wiki;;;House Arryn;Valemen
Donnel Drumm;TRUE;0;House Drumm;Ironborn;;AWOIAF Wiki;;;House Drumm;Ironborn
Donnel Flint;TRUE;0;House Flint;Mountain Clans;;AWOIAF Wiki;;;House Flint;Mountain Clans
Donnel Haigh;TRUE;0;House Haigh;Rivermen;;AWOIAF Wiki;;;House Haigh;Rivermen
Donnel Hightower;TRUE;0;House Hightower;Reach;;AWOIAF Wiki;;;House Hightower;Reach
Donnel Hill;TRUE;0;House Lannister, Night's Watch;Westermen;;AWOIAF Wiki;Night's Watch;;House Lannister, Night's Watch;Westermen
Donnel Locke;TRUE;0;House Locke;Northmen;;AWOIAF Wiki;;;House Locke;Northmen
Donnel of Duskendale;TRUE;0;Kingsguard;Crownlander;;AWOIAF Wiki;;;Kingsguard;Crownlander
Donnel Swann;TRUE;0;House Swann;Marcher;;AWOIAF Wiki;;;House Swann;Marcher
Donnel Waynwood;TRUE;0;House Waynwood;Valemen;;AWOIAF Wiki;House Waynwood, House Arryn;Andal;House Waynwood;Valemen
Donnis;TRUE;0;House Stark;Northmen;;AWOIAF Wiki;;;House Stark;Northmen
Donnor Stark;TRUE;0;House Stark;Northmen;;AWOIAF Wiki;;;House Stark;Northmen
Donnor Saltcliffe;TRUE;0;House Saltcliffe, House Greyjoy;Ironborn;;AWOIAF Wiki;;;House Saltcliffe, House Greyjoy;Ironborn
Dontos Hollard;TRUE;0;House Hollard;Crownlander;;AWOIAF Wiki;House Hollard, House Baratheon;Andal;House Hollard;Crownlander
Donyse;TRUE;0;Faith of the Seven;;;AWOIAF Wiki;;;Faith of the Seven;
Doran Martell;TRUE;0;House Martell;Dornish;;AWOIAF Wiki;House Martell, House Targaryen, House Baratheon;Dornish;House Martell;Dornish
Dorcas;TRUE;0;House Lannister;;;AWOIAF Wiki;;;House Lannister;
Dorden the Dour;TRUE;0;House Baratheon, Queen's Men;;;AWOIAF Wiki;;;House Baratheon, Queen's Men;
Dorea Sand;TRUE;0;House Martell;Dornish;;AWOIAF Wiki;;;House Martell;Dornish
Doreah;TRUE;0;Drogo's Khalasar, House Targaryen;Lyseni;;AWOIAF Wiki;House Targaryen;Lyseni;Drogo's Khalasar, House Targaryen;Lyseni
Dorian Hightower;TRUE;0;House Hightower;Reach;First Men;AWOIAF Wiki;;;House Hightower;Reach
Dormund;TRUE;0;Mance Rayder;Free Folk;;AWOIAF Wiki;;;Mance Rayder;Free Folk
Dorna Sarwyck;TRUE;0;House Sarwyck;Westermen;;AWOIAF Wiki;;;House Sarwyck;Westermen
Dorna Swyft;TRUE;0;House Swyft, House Lannister;Westermen;;AWOIAF Wiki;;;House Swyft, House Lannister;Westermen
Dornish Dilly;TRUE;0;Night's Watch;Dornish;;AWOIAF Wiki;;;Night's Watch;Dornish
Doro Golathis;TRUE;0;;Norvoshi;;AWOIAF Wiki;;;;Norvoshi
Dorren Stark;TRUE;0;;Northmen;;AWOIAF Wiki;;;;Northmen
Doshi;TRUE;0;;Dothraki;Dothraki;AWOIAF Wiki;;;;Dothraki
Blind Doss;TRUE;0;Mance Rayder;Free Folk;;AWOIAF Wiki;;;Mance Rayder;Free Folk
Drako Rogare;TRUE;0;House Rogare;Lyseni;;AWOIAF Wiki;;;House Rogare;Lyseni
Draper's wife;FALSE;0;;;;AWOIAF Wiki;;;;
Draqaz;TRUE;0;;Ghiscari;;AWOIAF Wiki;;;;Ghiscari
Drazenko Rogare;TRUE;0;House Rogare, House Martell;Lyseni;;AWOIAF Wiki;;;House Rogare, House Martell;Lyseni
Drennan;TRUE;0;House Greyjoy;Ironborn;;AWOIAF Wiki;House Greyjoy;Ironborn;House Greyjoy;Ironborn
Drinkwater twins;TRUE;0;House Drinkwater, House Yronwood;Dornish;;AWOIAF Wiki;;;House Drinkwater, House Yronwood;Dornish
Drogo;TRUE;0;Drogo's Khalasar;Dothraki;Dothraki;AWOIAF Wiki;Bharbo's Khalasar;Dothraki;Drogo's Khalasar;Dothraki
Drox the Corpse-Maker;TRUE;0;;Andal;;AWOIAF Wiki;;;;Andal
Drunken Daughter;TRUE;0;;Braavosi;;AWOIAF Wiki;;;;Braavosi
Druselka;TRUE;0;;Rhoynar;Rhoynar;AWOIAF Wiki;;;;Rhoynar
Dryn;TRUE;0;Mance Rayder;Free Folk;;AWOIAF Wiki;;;Mance Rayder;Free Folk
Dudley;TRUE;0;;;;AWOIAF Wiki;;;;
Duff;TRUE;0;;;;AWOIAF Wiki;;;;
Dunaver;TRUE;0;House Lannister;Westermen;;AWOIAF Wiki;;;House Lannister;Westermen
Duncan the Tall;TRUE;0;House Osgrey, House Targaryen, Kingsguard;Crownlander;;AWOIAF Wiki;;;House Osgrey, House Targaryen, Kingsguard;Crownlander
Duncan Liddle;TRUE;0;House Liddle, Night's Watch;Mountain Clans;;AWOIAF Wiki;;;House Liddle, Night's Watch;Mountain Clans
Duncan Strong;TRUE;0;Golden Company;Free Cities;;AWOIAF Wiki;;;Golden Company;Free Cities
Duncan Targaryen;TRUE;0;House Targaryen;Crownlander;Valyrian;AWOIAF Wiki;;;House Targaryen;Crownlander
Dunsen;TRUE;0;House Clegane;Westermen;;AWOIAF Wiki;;;House Clegane;Westermen
Dunstan Drumm;TRUE;0;House Drumm;Ironborn;;AWOIAF Wiki;;;House Drumm;Ironborn
Dunstan Pryor;TRUE;0;House Pryor;Valemen;;AWOIAF Wiki;;;House Pryor;Valemen
Duram Bar Emmon;TRUE;0;House Bar Emmon;Crownlander;;AWOIAF Wiki;;;House Bar Emmon;Crownlander
Duran;TRUE;0;Unsullied;;;AWOIAF Wiki;;;Unsullied;
Durran Godsgrief;TRUE;0;;First Men;;AWOIAF Wiki;;;;First Men
Durran II Durrandon;TRUE;0;;First Men;;AWOIAF Wiki;;;;First Men
Durran Durrandon (Bronze-Axe);TRUE;0;;First Men;;AWOIAF Wiki;;;;First Men
Durran Durrandon (the Dour);TRUE;0;;First Men;;AWOIAF Wiki;;;;First Men
Durran Durrandon (the Ravenfriend);TRUE;0;;First Men;;AWOIAF Wiki;;;;First Men
Durran Durrandon (the Young);TRUE;0;;First Men;;AWOIAF Wiki;;;;First Men
Durran Durrandon (the Fair);TRUE;0;;First Men;;AWOIAF Wiki;;;;First Men
Durran X Durrandon;TRUE;0;;;;AWOIAF Wiki;;;;
Durran XI Durrandon;TRUE;0;;;;AWOIAF Wiki;;;;
Durran XXI Durrandon;TRUE;0;;First Men;;AWOIAF Wiki;;;;First Men
Durran XXIV Durrandon;TRUE;0;;;;AWOIAF Wiki;;;;
Durran the Third;TRUE;0;;;;AWOIAF Wiki;;;;
Durwald I Durrandon;TRUE;0;;;;AWOIAF Wiki;;;;
Dusky woman;FALSE;0;House Greyjoy;;;AWOIAF Wiki;;;House Greyjoy;
Dyah;TRUE;0;;Free Folk;;AWOIAF Wiki;;;;Free Folk
Dyanna Dayne;TRUE;0;House Dayne, House Targaryen;Dornish;;AWOIAF Wiki;;;House Dayne, House Targaryen;Dornish
Dykk Harlaw;TRUE;0;House Harlaw;Ironborn;;AWOIAF Wiki;;;House Harlaw;Ironborn
Dywen;TRUE;0;Night's Watch;Westerosi;;AWOIAF Wiki;;;Night's Watch;Westerosi
Dywen Shell;TRUE;0;;First Men;;AWOIAF Wiki;;;;First Men
Earl Harlaw;TRUE;0;House Harlaw;Ironborn;;AWOIAF Wiki;;;House Harlaw;Ironborn
Easy;TRUE;0;Night's Watch;;;AWOIAF Wiki;;;Night's Watch;
Ebben;TRUE;0;Night's Watch;;;AWOIAF Wiki;;;Night's Watch;
Ebrose;TRUE;0;Citadel;Westerosi;;AWOIAF Wiki;;;Citadel;Westerosi
Eddara Tallhart;TRUE;0;House Tallhart;Northmen;;AWOIAF Wiki;;;House Tallhart;Northmen
Eddard Karstark;TRUE;0;House Karstark;Northmen;;AWOIAF Wiki;;;House Karstark;Northmen
Eddard Stark;TRUE;15;House Stark;Northmen;;AWOIAF Wiki;House Stark, House Baratheon, House Arryn, Ward;Northmen;House Stark;Northmen
Edderion Stark;TRUE;0;;Northmen;;AWOIAF Wiki;;;;Northmen
Eddison Peake (the Elder);TRUE;0;House Peake;Reach;;AWOIAF Wiki;;;House Peake;Reach
Eddison Peake (the Younger);TRUE;0;House Peake;Reach;;AWOIAF Wiki;;;House Peake;Reach
Eddison Tollett;TRUE;0;House Tollett, Night's Watch;Valemen;;AWOIAF Wiki;House Tollett, Night's Watch;Andal;House Tollett, Night's Watch;Valemen
Eden Risley;TRUE;0;House Risley;Reach;;AWOIAF Wiki;;;House Risley;Reach
Edgar Yronwood;TRUE;0;House Yronwood;Dornish;;AWOIAF Wiki;;;House Yronwood;Dornish
Edgar Sloane;TRUE;0;House Sloane;Reach;;AWOIAF Wiki;;;House Sloane;Reach
Edgerran;TRUE;0;Citadel;;;AWOIAF Wiki;;;Citadel;
Edgerran Oakheart;TRUE;0;House Oakheart;Reach;;AWOIAF Wiki;;;House Oakheart;Reach
Edmund Ambrose;TRUE;0;House Ambrose;Reach;;AWOIAF Wiki;;;House Ambrose;Reach
Edmund Blackwood;TRUE;0;House Blackwood;Rivermen;;AWOIAF Wiki;;;House Blackwood;Rivermen
Edmund Breakstone;TRUE;0;House Breakstone;Valemen;;AWOIAF Wiki;;;House Breakstone;Valemen
Edmund Gardener;TRUE;0;House Gardener;Reach;;AWOIAF Wiki;;;House Gardener;Reach
Edmund Warrick;TRUE;0;House Warrick, Kingsguard;;;AWOIAF Wiki;;;House Warrick, Kingsguard;
Edmund Waxley;TRUE;0;House Waxley;Valemen;;AWOIAF Wiki;;;House Waxley;Valemen
Edmure Tully;TRUE;0;House Tully;Rivermen;;AWOIAF Wiki;House Tully, House Stark;Andal;House Tully;Rivermen
Edmure Tully (father of Axel);TRUE;0;House Tully;Rivermen;;AWOIAF Wiki;;;House Tully;Rivermen
Edmyn Tully;TRUE;0;House Tully;Rivermen;;AWOIAF Wiki;;;House Tully;Rivermen
Edric Dayne;TRUE;0;House Dayne, Brotherhood Without Banners;Dornish;;AWOIAF Wiki;;;House Dayne, Brotherhood Without Banners;Dornish
Edric Stark;TRUE;0;House Stark;Northmen;;AWOIAF Wiki;;;House Stark;Northmen
Edric Stark (son of Cregan);TRUE;0;House Stark;Northmen;;AWOIAF Wiki;;;House Stark;Northmen
Edric Storm;TRUE;0;House Baratheon;Stormlander;;AWOIAF Wiki;;;House Baratheon;Stormlander
Edrick Stark;TRUE;0;;Northmen;First Men;AWOIAF Wiki;;;;Northmen
Edwell Celtigar;TRUE;0;House Celtigar;Crownlander;Valyrian;AWOIAF Wiki;;;House Celtigar;Crownlander
Edwyd Fossoway;TRUE;0;House Fossoway;Reach;;AWOIAF Wiki;;;House Fossoway;Reach
Edwyle Stark;TRUE;0;House Stark;Northmen;;AWOIAF Wiki;;;House Stark;Northmen
Edwyn Frey;TRUE;0;House Frey;Rivermen;;AWOIAF Wiki;;;House Frey;Rivermen
Edwyn Osgrey;TRUE;0;House Osgrey;Reach;;AWOIAF Wiki;;;House Osgrey;Reach
Edwyn Stark;TRUE;0;;Northmen;;AWOIAF Wiki;;;;Northmen
Edwyn Tarth;TRUE;0;House Tarth;;;AWOIAF Wiki;;;House Tarth;
Edyth;TRUE;0;Faith of the Seven, House Targaryen;Westerosi;;AWOIAF Wiki;;;Faith of the Seven, House Targaryen;Westerosi
Egbert;TRUE;0;Citadel;Westerosi;;AWOIAF Wiki;;;Citadel;Westerosi
Eggon;TRUE;0;House Clegane;;;AWOIAF Wiki;;;House Clegane;
Eglantine;TRUE;0;Faith of the Seven, House Baratheon;;;AWOIAF Wiki;;;Faith of the Seven, House Baratheon;
Egon Emeros;TRUE;0;Pureborn;Qartheen;;AWOIAF Wiki;;;Pureborn;Qartheen
Eilene Harte;TRUE;0;;;;AWOIAF Wiki;;;;
Eladon Goldenhair;TRUE;0;Unsullied, House Targaryen;;;AWOIAF Wiki;;;Unsullied, House Targaryen;
Elaena Targaryen;TRUE;0;House Targaryen, House Plumm, House Penrose, House Manwoody;Crownlander;Valyrian;AWOIAF Wiki;;;House Targaryen, House Plumm, House Penrose, House Manwoody;Crownlander
Elaena Targaryen (daughter of Gaemon);TRUE;0;House Targaryen;Valyrian;Valyrian;AWOIAF Wiki;;;House Targaryen;Valyrian
Elbert Arryn;TRUE;0;House Arryn;Valemen;;AWOIAF Wiki;;;House Arryn;Valemen
Elder Brother;TRUE;0;;;;AWOIAF Wiki;;;;
Elderly man;FALSE;0;;Braavosi;;AWOIAF Wiki;;;;Braavosi
Eldiss;TRUE;0;;Ironborn;;AWOIAF Wiki;;;;Ironborn
Eldon Estermont;TRUE;0;House Estermont;Stormlander;;AWOIAF Wiki;;;House Estermont;Stormlander
Eldred Codd;TRUE;0;House Codd;Ironborn;;AWOIAF Wiki;;;House Codd;Ironborn
Eldric Arryn;TRUE;0;House Arryn;Valemen;;AWOIAF Wiki;;;House Arryn;Valemen
Eleanor Mooton;TRUE;0;House Mooton, House Tarly;Rivermen;;AWOIAF Wiki;;;House Mooton, House Tarly;Rivermen
Elenda Caron;TRUE;0;House Caron, House Baratheon, House Connington;Marcher;;AWOIAF Wiki;;;House Caron, House Baratheon, House Connington;Marcher
Elenei;TRUE;0;House Durrandon;;;AWOIAF Wiki;;;House Durrandon;
Lord Elesham;TRUE;0;House Elesham;Valemen;;AWOIAF Wiki;;;House Elesham;Valemen
Eleyna Westerling;TRUE;0;House Westerling;Westermen;;AWOIAF Wiki;;;House Westerling;Westermen
Elia Martell;TRUE;0;House Martell, House Targaryen;Dornish;;AWOIAF Wiki;;;House Martell, House Targaryen;Dornish
Elia Sand;TRUE;0;House Martell;Dornish;;AWOIAF Wiki;;;House Martell;Dornish
Elinda Massey;TRUE;0;House Massey, Blacks;Crownlander;;AWOIAF Wiki;;;House Massey, Blacks;Crownlander
Elinor Costayne;TRUE;0;House Costayne, House Bolling, House Targaryen, Faith of the Seven;Reach;;AWOIAF Wiki;;;House Costayne, House Bolling, House Targaryen, Faith of the Seven;Reach
Elinor Massey;TRUE;0;House Massey;Crownlander;;AWOIAF Wiki;;;House Massey;Crownlander
Elinor Tyrell;TRUE;0;House Tyrell;Reach;;AWOIAF Wiki;;;House Tyrell;Reach
Elissa Farman;TRUE;0;House Farman;Westermen;;AWOIAF Wiki;;;House Farman;Westermen
Elkin;TRUE;0;Citadel;;;AWOIAF Wiki;;;Citadel;
Ella Broome;TRUE;0;House Broome, House Targaryen;Westermen;;AWOIAF Wiki;;;House Broome, House Targaryen;Westermen
Ella Harte;TRUE;0;;;;AWOIAF Wiki;;;;
Ella Lannister;TRUE;0;House Lannister, House Lannister;Westermen;;AWOIAF Wiki;;;House Lannister, House Lannister;Westermen
